config,dist_metric,w_ade,w_dist,interaction_distance,cap_policy,cap_multiplier,sigma,v0,fit_loss,refined,ade,emd_closest,gap,n_pairs,n_real_gt_sim,sign_p,wilcoxon_p,scenario
w0,emd,1.0,0.0,,median,1.3,1.211020374298096,1.6477418899536138,0.6566055950113668,True,0.6566055950113668,0.6865576824231268,0.678792092165836,26,24,1.049041748046875e-05,5.662441253662109e-07,all
w0.25,emd,1.0,0.25,,median,1.3,1.3655090332031246,2.1008544921874996,0.821321036211579,True,0.6618717672894247,0.6377970756886175,0.6255772889338408,26,21,0.002493917942047119,1.9073486328125e-05,all
w0.5,emd,1.0,0.5,,median,1.3,1.4794690662994987,2.4684217132627975,0.9755404829337881,True,0.6734278596086565,0.6042252466502633,0.5781498614257387,26,21,0.002493917942047119,0.00041159987449645996,all
w1,emd,1.0,1.0,,median,1.3,0.6492593193945099,21.281909349274322,1.2193848402041376,True,0.7764834928721477,0.44290134733199005,0.4176139916345572,26,20,0.009355306625366211,0.0005246102809906006,all
w2,emd,1.0,2.0,,median,1.3,0.44647182494573157,104.3545966697547,1.6261234661133932,True,0.8283288680537819,0.39889729902980564,0.3712725959149589,26,20,0.009355306625366211,0.0009347796440124512,all
w4,emd,1.0,4.0,,median,1.3,0.3376856383623724,529.0400135193885,2.3783694527043227,True,0.866092871857817,0.3780691452116264,0.3485202616749517,26,20,0.009355306625366211,0.0009347796440124512,all
pure,emd,0.0,1.0,,median,1.3,0.31753057558073106,874.042112305387,0.37577664909744324,True,0.8787130806308164,0.37577664909744324,0.3398739240290393,26,19,0.028959274291992188,0.0017795562744140625,all
