fold,protocol,n_train_clips,n_test_clips,n_train_encs,n_test_encs,sigma,v0,refined,train_ade,test_ade,test_ks_closest,test_p_closest,test_ks_onset,test_p_onset,test_mean_closest_sim,test_mean_closest_real,base_default_test_ade,base_default_test_ks_closest,base_norepulsion_test_ade,base_norepulsion_test_ks_closest
vci_back,loso,22,4,22,4,1.0850341796874994,2.617309570312499,True,0.6455705627854691,0.723764200401131,1.0,0.028571428571428577,0.8888888888888888,0.0027972027972027968,0.5915068399825618,1.7750816109993928,0.715859454065249,1.0,0.7565816985834575,1.0
vci_front,loso,22,4,22,4,1.1594284057617184,1.9465805053710927,True,0.6845160465983934,0.5006822906661312,1.0,0.028571428571428577,,,0.5364967657512582,1.5999302331626906,0.5189548992229125,1.0,0.5315367873791096,1.0
vci_lat_bi,loso,16,10,16,10,0.7433804686367513,1.8486422121524817,True,0.6101560888372234,0.7285742784834541,0.4,0.41752365281777043,1.0,8.227067050596462e-05,2.215419908135157,2.8945194564044505,0.7084514700613158,0.4,0.759011062624761,0.4
vci_lat_uni,loso,18,8,18,8,1.130501197278499,1.7617715209722524,True,0.6667341041386764,0.6265632837332682,0.5,0.2826728826728826,1.0,0.6666666666666666,2.5508357559386727,2.825026226053435,0.6284688146230522,0.5,0.6386409753398526,0.5
