campaign,gt_label,scenario,condition,n,collisions,min_dist_mean,time_mean_cf,rms_jerk_mean,mean_accel_mean
margin,calib_lo,scenario_02,sgan_robust_eps0.0,10,0,1.459,16.82,0.078,0.055
margin,calib_lo,scenario_02,sgan_single_inf1.00,10,1,1.212,26.24,1.709,0.136
margin,calib_lo,scenario_02,sgan_single_inf1.10,10,0,1.338,26.33,2.44,0.196
margin,calib_lo,scenario_02,sgan_single_inf1.20,10,0,1.519,28.56,1.975,0.176
margin,calib_lo,scenario_02,sgan_single_inf1.35,10,0,1.731,28.2,1.102,0.162
margin,calib_lo,scenario_02,sgan_single_inf1.50,10,0,1.913,24.6,0.762,0.165
margin,calib_lo,scenario_03,sgan_robust_eps0.0,10,0,2.553,31.88,0.259,0.137
margin,calib_lo,scenario_03,sgan_single_inf1.00,10,3,1.427,59.9,1.25,0.101
margin,calib_lo,scenario_03,sgan_single_inf1.10,10,0,1.841,54.51,0.853,0.075
margin,calib_lo,scenario_03,sgan_single_inf1.20,10,0,2.349,49.93,0.935,0.09
margin,calib_lo,scenario_03,sgan_single_inf1.35,10,0,2.776,37.49,0.614,0.128
margin,calib_lo,scenario_03,sgan_single_inf1.50,10,0,2.953,32.04,0.575,0.145
rand,avec,scenario_01,cv_single,20,1,1.507,24.57,1.097,0.156
rand,avec,scenario_01,lstm_robust_eps0.0,20,0,3.054,24.93,0.512,0.129
rand,avec,scenario_01,lstm_single,20,0,1.82,27.61,0.699,0.113
rand,avec,scenario_01,sgan_robust_eps0.0,20,0,2.147,24.76,0.344,0.126
rand,avec,scenario_01,sgan_single_inf1.00,20,0,1.796,31.72,1.256,0.136
rand,avec,scenario_02,cv_single,20,0,1.333,18.27,0.29,0.074
rand,avec,scenario_02,lstm_robust_eps0.0,20,0,1.78,18.66,0.115,0.085
rand,avec,scenario_02,lstm_single,20,3,1.347,22.0,1.218,0.113
rand,avec,scenario_02,sgan_robust_eps0.0,20,0,1.571,16.87,0.064,0.054
rand,avec,scenario_02,sgan_single_inf1.00,20,6,1.309,21.21,1.446,0.121
rand,avec,scenario_03,cv_single,20,0,1.749,44.37,1.57,0.13
rand,avec,scenario_03,lstm_robust_eps0.0,20,0,2.729,32.9,0.566,0.137
rand,avec,scenario_03,lstm_single,20,2,1.916,42.46,1.361,0.122
rand,avec,scenario_03,sgan_robust_eps0.0,20,0,2.5,31.5,0.63,0.128
rand,avec,scenario_03,sgan_single_inf1.00,20,1,2.007,36.66,1.206,0.129
rand,calib,scenario_01,cv_single,20,1,1.486,23.31,1.006,0.153
rand,calib,scenario_01,lstm_robust_eps0.0,20,0,3.087,25.07,0.527,0.13
rand,calib,scenario_01,lstm_single,20,1,1.8,31.39,0.948,0.109
rand,calib,scenario_01,sgan_robust_eps0.0,20,0,2.149,25.1,0.617,0.143
rand,calib,scenario_01,sgan_single_inf1.00,20,0,1.743,28.45,1.533,0.185
rand,calib,scenario_02,cv_single,20,0,1.421,16.9,0.061,0.055
rand,calib,scenario_02,lstm_robust_eps0.0,20,0,1.928,18.59,0.117,0.089
rand,calib,scenario_02,lstm_single,20,0,1.447,17.39,0.186,0.063
rand,calib,scenario_02,sgan_robust_eps0.0,20,0,1.695,16.8,0.067,0.053
rand,calib,scenario_02,sgan_single_inf1.00,20,0,1.4,22.08,0.5,0.071
rand,calib,scenario_03,cv_single,20,1,1.701,43.22,1.671,0.13
rand,calib,scenario_03,lstm_robust_eps0.0,20,1,2.645,32.52,0.567,0.14
rand,calib,scenario_03,lstm_single,20,3,1.891,44.12,1.403,0.122
rand,calib,scenario_03,sgan_robust_eps0.0,20,1,2.527,31.65,0.652,0.129
rand,calib,scenario_03,sgan_single_inf1.00,20,3,1.932,36.17,1.303,0.141
rand,calib_hi,scenario_01,cv_single,10,0,1.552,19.1,1.206,0.192
rand,calib_hi,scenario_01,lstm_robust_eps0.0,10,0,3.276,28.92,0.553,0.123
rand,calib_hi,scenario_01,lstm_single,10,1,1.783,28.0,1.064,0.14
rand,calib_hi,scenario_01,sgan_robust_eps0.0,10,0,2.23,27.54,0.599,0.136
rand,calib_hi,scenario_01,sgan_single_inf1.00,10,1,1.765,29.93,1.655,0.166
rand,calib_hi,scenario_02,cv_single,10,0,1.468,16.88,0.061,0.054
rand,calib_hi,scenario_02,lstm_robust_eps0.0,10,0,1.966,18.77,0.114,0.087
rand,calib_hi,scenario_02,lstm_single,10,0,1.522,17.89,0.307,0.072
rand,calib_hi,scenario_02,sgan_robust_eps0.0,10,0,1.758,16.78,0.067,0.052
rand,calib_hi,scenario_02,sgan_single_inf1.00,10,0,1.454,21.17,0.254,0.053
rand,calib_hi,scenario_03,cv_single,10,0,1.608,40.64,1.851,0.148
rand,calib_hi,scenario_03,lstm_robust_eps0.0,10,1,2.859,32.29,0.922,0.138
rand,calib_hi,scenario_03,lstm_single,10,2,1.727,40.41,1.566,0.13
rand,calib_hi,scenario_03,sgan_robust_eps0.0,10,0,2.549,32.0,0.66,0.115
rand,calib_hi,scenario_03,sgan_single_inf1.00,10,1,1.898,35.31,1.304,0.131
rand,calib_lo,scenario_01,cv_single,10,0,1.501,22.21,0.82,0.175
rand,calib_lo,scenario_01,lstm_robust_eps0.0,10,0,3.16,29.62,0.741,0.142
rand,calib_lo,scenario_01,lstm_single,10,1,1.722,34.56,1.546,0.136
rand,calib_lo,scenario_01,sgan_robust_eps0.0,10,0,2.126,26.94,0.609,0.142
rand,calib_lo,scenario_01,sgan_single_inf1.00,10,0,1.772,32.43,1.82,0.177
rand,calib_lo,scenario_02,cv_single,10,0,1.425,16.91,0.06,0.054
rand,calib_lo,scenario_02,lstm_robust_eps0.0,10,0,1.897,18.89,0.118,0.087
rand,calib_lo,scenario_02,lstm_single,10,0,1.468,22.27,0.468,0.076
rand,calib_lo,scenario_02,sgan_robust_eps0.0,10,0,1.711,16.82,0.067,0.052
rand,calib_lo,scenario_02,sgan_single_inf1.00,10,1,1.418,17.92,0.742,0.087
rand,calib_lo,scenario_03,cv_single,10,2,1.542,41.45,2.035,0.158
rand,calib_lo,scenario_03,lstm_robust_eps0.0,10,0,2.936,33.23,0.843,0.134
rand,calib_lo,scenario_03,lstm_single,10,2,1.755,43.66,1.515,0.124
rand,calib_lo,scenario_03,sgan_robust_eps0.0,10,0,2.425,32.62,0.658,0.121
rand,calib_lo,scenario_03,sgan_single_inf1.00,10,1,1.848,35.29,1.305,0.134
