m,sigma,v0,fit_loss,refined,ade,gap,n_pairs,n_real_gt_sim,sign_p
1.0,1.211020374298096,1.6477418899536138,0.6566055950113668,True,0.6566055950113668,0.678792092165836,26,24,1.049041748046875e-05
1.15,0.4961867735284611,3.3063946787224303,0.6860115652391736,True,0.6860115652391736,0.7392801831185263,26,25,8.046627044677734e-07
1.3,0.2990294765727597,4.487131949979812,0.6999687366792635,True,0.6999687366792635,0.7405078521628006,26,25,8.046627044677734e-07
1.5,1.0068625234067436,0.886281453073025,0.713901568491544,True,0.713901568491544,0.7645275890974275,26,25,8.046627044677734e-07
2.0,1.0048532536625867,0.8902279525995251,0.7147287341497053,True,0.7147287341497053,0.763112604504851,26,25,8.046627044677734e-07
