policy,cap_multiplier,cap_headroom,sigma,v0,fit_loss,refined,ade_calibrated,ade_avec,ade_norep,mean_closest_sim,mean_closest_real,gap_calibrated,n_pairs,n_real_gt_sim_calibrated,sign_p_calibrated,wilcoxon_p_calibrated,gap_avec,n_real_gt_sim_avec,sign_p_avec,gap_norep,n_real_gt_sim_norep,sign_p_norep,obj_interaction_distance,scenario
median,1.3,1.0,1.211020374298096,1.6477418899536138,0.6566055950113668,True,0.6566055950113668,0.6617904297090698,0.6947733826978102,1.8229560520310992,2.5017481441969354,0.678792092165836,26,24,1.049041748046875e-05,5.662441253662109e-07,0.6825740081186549,24,1.049041748046875e-05,0.7941468046800242,25,8.046627044677734e-07,,all
closedloop,1.3,1.0,0.6164803440585929,35.86511554431277,1.7068400090477935,True,1.7068400090477935,1.8732103662003723,1.9415983378203137,2.1506997447748315,2.5017481441969354,0.3510483994221035,26,17,0.16863754391670227,0.03816831111907959,0.6799900734280994,18,0.07551869750022888,0.7724148583231749,19,0.028959274291992188,,all
uncapped,1.3,inf,1.0048532536625867,0.8902279525995251,0.7147287341497053,True,0.7147287341497053,0.7595161708188563,0.7328525493966622,1.7386355396920845,2.5017481441969354,0.763112604504851,26,25,8.046627044677734e-07,2.980232238769531e-07,0.6218778571642337,24,1.049041748046875e-05,0.8379508564705256,25,8.046627044677734e-07,,all
capfit,1.0,1.0,1.211020374298096,1.6477418899536138,0.6566055950113668,True,0.6566055950113668,0.6617904297090698,0.6947733826978102,1.8229560520310992,2.5017481441969354,0.678792092165836,26,24,1.049041748046875e-05,5.662441253662109e-07,0.6825740081186549,24,1.049041748046875e-05,0.7941468046800242,25,8.046627044677734e-07,,all
