estimator,sigma,v0,loss_ade,refined,mean_cruise
baseline_median,1.2004585266113281,1.6218757629394531,0.6566297634233567,True,1.1950209433816676
freewalk_thr6_q50,0.5874504506587982,3.2847666859626763,0.7046054797558092,True,1.1974633715937228
freewalk_thr8_q50,0.5553196191787722,3.1691449642181397,0.7407497174216517,True,1.1936486612025594
freewalk_thr10_q50,0.5808686561882499,3.110090943425892,0.8499219536196065,True,1.1910087345715596
upper_q85,0.8097285509109498,5.340401768684387,0.8990858701594687,True,1.3433753188101076
