source,test_id,family,headline,p_value,family_size,family_bh_q,family_holm_p,family_bh_reject,family_holm_reject,overall_size,overall_bh_q,overall_holm_p,overall_bh_reject,overall_holm_reject,description
RQ2-cap-closedloop-loco,rq2cap.loco.closedloop.closest_sign.calibrated,rq2_cap_sensitivity_loco,False,0.16863754391670227,9,0.16863754391670227,0.16863754391670227,False,False,117,0.23488800759826386,1.0,False,False,(diagnostic) paired per-encounter sign test: real vs calibrated sim closest-approach (loco)
RQ2-cap-closedloop-loco,rq2cap.loco.closedloop.closest_sign.avec_default,rq2_cap_sensitivity_loco,False,0.07551869750022888,9,0.08495853468775749,0.15103739500045776,False,False,117,0.12271788343787193,1.0,False,False,(diagnostic) paired per-encounter sign test: real vs avec_default sim closest-approach (loco)
RQ2-cap-closedloop-loco,rq2cap.loco.closedloop.closest_sign.no_repulsion,rq2_cap_sensitivity_loco,False,0.028959274291992188,9,0.03723335266113281,0.08687782287597656,True,False,117,0.05057067301735949,1.0,False,False,(diagnostic) paired per-encounter sign test: real vs no_repulsion sim closest-approach (loco)
RQ2-cap-median-loco,rq2cap.loco.median.closest_sign.calibrated,rq2_cap_sensitivity_loco,False,1.049041748046875e-05,9,1.5735626220703125e-05,6.29425048828125e-05,True,True,117,7.128715515136719e-05,0.001132965087890625,True,True,(diagnostic) paired per-encounter sign test: real vs calibrated sim closest-approach (loco)
RQ2-cap-median-loco,rq2cap.loco.median.closest_sign.avec_default,rq2_cap_sensitivity_loco,False,1.049041748046875e-05,9,1.5735626220703125e-05,6.29425048828125e-05,True,True,117,7.128715515136719e-05,0.001132965087890625,True,True,(diagnostic) paired per-encounter sign test: real vs avec_default sim closest-approach (loco)
RQ2-cap-median-loco,rq2cap.loco.median.closest_sign.no_repulsion,rq2_cap_sensitivity_loco,False,8.046627044677734e-07,9,2.4139881134033203e-06,7.241964340209961e-06,True,True,117,1.0460615158081055e-05,9.334087371826172e-05,True,True,(diagnostic) paired per-encounter sign test: real vs no_repulsion sim closest-approach (loco)
RQ2-cap-uncapped-loco,rq2cap.loco.uncapped.closest_sign.calibrated,rq2_cap_sensitivity_loco,False,8.046627044677734e-07,9,2.4139881134033203e-06,7.241964340209961e-06,True,True,117,1.0460615158081055e-05,9.334087371826172e-05,True,True,(diagnostic) paired per-encounter sign test: real vs calibrated sim closest-approach (loco)
RQ2-cap-uncapped-loco,rq2cap.loco.uncapped.closest_sign.avec_default,rq2_cap_sensitivity_loco,False,1.049041748046875e-05,9,1.5735626220703125e-05,6.29425048828125e-05,True,True,117,7.128715515136719e-05,0.001132965087890625,True,True,(diagnostic) paired per-encounter sign test: real vs avec_default sim closest-approach (loco)
RQ2-cap-uncapped-loco,rq2cap.loco.uncapped.closest_sign.no_repulsion,rq2_cap_sensitivity_loco,False,8.046627044677734e-07,9,2.4139881134033203e-06,7.241964340209961e-06,True,True,117,1.0460615158081055e-05,9.334087371826172e-05,True,True,(diagnostic) paired per-encounter sign test: real vs no_repulsion sim closest-approach (loco)
RQ2-distmatch-pure-loco,rq2dm.loco.pure.closest_sign.calibrated,rq2_distmatch_loco,False,0.009355306625366211,12,0.009355306625366211,0.009975671768188477,True,True,117,0.018242847919464112,0.5426077842712402,True,False,(diagnostic) paired per-encounter sign test: real vs calibrated sim closest-approach (loco)
